Area,Year,January,February,March,April,May,June,July,August,September,October,November,December
Comilla,1991,11.0,50.0,229.0,270.0,439.0,331.0,394.0,409.0,377.0,240.0,50.0,114.0
Comilla,1992,0.0,63.0,0.0,10.0,154.0,298.0,259.0,128.0,128.0,197.0,2.0,1.0
Comilla,1993,1.0,129.0,81.0,174.0,642.0,506.0,540.0,287.0,245.0,219.0,40.0,0.0
Comilla,1994,10.0,11.0,124.0,150.0,185.0,431.0,116.0,245.0,91.0,20.0,1.0,0.0
Comilla,1995,0.0,29.0,12.0,114.0,318.0,329.0,529.0,452.0,124.0,48.0,147.0,0.0
Comilla,1996,12.0,0.0,114.0,102.0,449.0,392.0,308.0,146.0,178.0,322.0,12.0,1.0
Comilla,1997,8.0,11.0,117.0,160.0,199.0,350.0,664.0,270.0,277.0,47.0,1.0,30.0
Comilla,1998,27.0,54.0,109.0,249.0,342.0,100.0,854.0,336.0,281.0,48.0,118.0,0.0
Comilla,1999,0.0,0.0,2.0,7.0,229.0,350.0,892.0,371.0,365.0,292.0,43.0,0.0
Comilla,2000,45.0,52.0,121.0,212.0,554.0,295.0,182.0,319.0,106.0,155.0,3.0,0.0
Comilla,2001,0.0,13.0,6.0,54.0,300.0,590.0,184.0,312.0,258.0,161.0,72.0,0.0
Comilla,2002,29.0,0.0,72.0,91.0,344.0,316.0,766.0,223.0,129.0,83.0,83.0,0.0
Comilla,2003,2.0,50.0,128.0,132.0,141.0,673.0,290.0,131.0,97.0,129.0,3.0,49.0
Comilla,2004,0.0,4.0,6.0,175.0,186.0,654.0,311.0,183.0,686.0,218.0,1.0,0.0
Comilla,2005,6.0,2.0,249.0,157.0,193.0,259.0,403.0,410.0,395.0,349.0,0.0,1.0
Comilla,2006,0.0,0.0,0.0,117.0,607.0,402.0,151.0,226.0,300.0,94.0,1.0,0.0
Comilla,2007,0.0,20.0,21.0,179.0,153.0,548.0,654.0,221.0,339.0,280.0,82.0,0.0
Comilla,2008,30.0,11.0,26.0,34.0,282.0,330.0,457.0,375.0,247.0,265.0,0.0,0.0
Comilla,2009,0.0,0.0,3.0,48.0,295.0,235.0,573.0,427.0,145.0,98.0,0.0,0.0
Comilla,2010,0.0,13.0,30.0,23.0,343.0,417.0,94.0,125.0,241.0,277.0,0.0,15.0
Comilla,2011,0.0,0.0,28.0,76.0,351.0,346.0,273.0,501.0,233.0,76.0,0.0,0.0
Comilla,2012,16.0,1.0,13.0,195.0,209.0,442.0,282.0,373.0,178.0,115.0,102.0,3.0
Comilla,2013,0.0,3.0,30.0,28.0,467.0,214.0,276.0,243.0,255.0,124.0,0.0,3.0
Comilla,2014,0.0,8.0,17.0,16.0,195.0,394.0,227.0,418.0,296.0,64.0,0.0,0.0
Comilla,2015,1.0,24.0,11.0,206.0,187.0,286.0,820.0,188.0,377.0,44.0,1.0,10.0
Comilla,2016,1.0,47.0,72.0,118.0,448.0,210.0,557.0,277.0,143.0,111.0,190.0,0.0
Comilla,2017,0.0,8.0,231.0,361.0,222.0,432.0,676.0,526.0,282.0,274.0,5.0,162.0
Comilla,2018,0.0,0.0,21.0,214.0,406.0,516.0,268.0,117.0,121.0,42.0,0.0,7.0
Comilla,2019,0.0,70.0,29.0,238.0,269.0,202.0,477.0,250.0,208.0,108.0,0.0,7.0
Cox'sBazar,1953,2.0,0.0,0.0,6.0,455.0,722.0,1084.0,606.0,401.0,99.0,21.0,0.0
Cox'sBazar,1954,0.0,15.0,0.0,0.0,139.0,1504.0,858.0,884.0,132.0,413.0,0.0,0.0
Cox'sBazar,1955,0.0,0.0,80.0,35.0,375.0,611.0,972.0,366.0,373.0,349.0,142.0,1.0
Cox'sBazar,1956,0.0,0.0,0.0,23.0,664.0,810.0,623.0,926.0,554.0,222.0,46.0,0.0
Cox'sBazar,1957,87.0,5.0,0.0,0.0,120.0,493.0,1027.0,397.0,407.0,77.0,0.0,0.0
Cox'sBazar,1958,0.0,10.0,0.0,23.0,95.0,379.0,831.0,504.0,421.0,153.0,15.0,13.0
Cox'sBazar,1959,37.0,24.0,51.0,9.0,210.0,550.0,1023.0,853.0,372.0,219.0,0.0,47.0
Cox'sBazar,1960,0.0,0.0,40.0,0.0,204.0,644.0,705.0,907.0,183.0,309.0,78.0,0.0
Cox'sBazar,1961,0.0,3.0,3.0,30.0,294.0,719.0,1387.0,937.0,574.0,340.0,24.0,0.0
Cox'sBazar,1962,0.0,0.0,0.0,18.0,258.0,1105.0,625.0,499.0,281.0,245.0,0.0,0.0
Cox'sBazar,1963,0.0,0.0,4.0,157.0,617.0,1027.0,1104.0,305.0,403.0,386.0,0.0,0.0
Cox'sBazar,1964,0.0,0.0,0.0,63.0,267.0,653.0,1121.0,773.0,170.0,308.0,24.0,0.0
Cox'sBazar,1965,0.0,72.0,0.0,10.0,351.0,1123.0,1526.0,1109.0,278.0,416.0,19.0,84.0
Cox'sBazar,1966,13.0,0.0,84.0,30.0,64.0,1532.0,699.0,1075.0,388.0,184.0,55.0,16.0
Cox'sBazar,1967,57.0,0.0,4.0,44.0,95.0,696.0,1172.0,1002.0,966.0,276.0,0.0,0.0
Cox'sBazar,1968,42.0,40.0,7.0,65.0,342.0,1093.0,951.0,887.0,201.0,289.0,3.0,0.0
Cox'sBazar,1969,0.0,0.0,75.0,93.0,103.0,952.0,1193.0,1262.0,465.0,123.0,15.0,0.0
Cox'sBazar,1970,0.0,40.0,0.0,69.0,331.0,578.0,1424.0,598.0,308.0,458.0,67.0,0.0
Cox'sBazar,1971,4.0,0.0,1.0,5.0,155.0,1179.0,1518.0,680.0,112.0,163.0,91.0,12.109000000000002
Cox'sBazar,1972,0.0,4.0,0.0,52.0,124.0,288.0,324.0,839.0,56.0,440.0,1.0,0.0
Cox'sBazar,1973,3.0,4.0,2.0,6.0,496.0,790.0,874.0,463.0,382.0,242.0,248.0,13.0
Cox'sBazar,1974,3.0,0.0,158.0,76.0,486.0,832.0,1291.0,1059.0,210.0,116.0,88.0,0.0
Cox'sBazar,1975,0.0,0.0,0.0,11.0,254.0,484.0,1293.0,462.0,280.0,667.0,300.0,25.0
Cox'sBazar,1976,0.0,0.0,0.0,86.0,244.0,889.0,50.0,671.0,49.0,235.0,275.0,0.0
Cox'sBazar,1977,0.0,22.0,0.0,566.0,354.0,930.0,1077.0,649.0,239.0,25.0,53.0,31.0
Cox'sBazar,1978,0.0,0.0,0.0,270.0,518.0,621.0,535.0,571.0,479.0,187.0,0.0,12.109000000000002
Cox'sBazar,1979,0.0,0.0,0.0,3.0,22.0,35.0,195.0,332.0,102.0,17.0,68.138,10.0
Cox'sBazar,1980,0.0,2.0,27.0,0.0,117.0,258.0,185.0,267.0,371.246,244.03099999999998,0.0,0.0
Cox'sBazar,1981,31.0,0.0,40.0,219.0,240.0,705.0,839.0,445.0,438.0,61.0,5.0,29.0
Cox'sBazar,1982,0.0,22.0,13.0,123.0,26.0,1199.0,866.0,850.0,483.0,3.0,119.0,0.0
Cox'sBazar,1983,8.0,47.0,19.0,123.0,261.0,721.0,1027.0,888.0,347.0,379.0,290.0,44.0
Cox'sBazar,1984,3.0,0.0,0.0,66.0,329.0,1275.0,731.0,817.0,280.0,127.0,0.0,4.0
Cox'sBazar,1985,6.0,1.0,13.0,68.0,474.0,652.0,807.0,530.0,259.0,61.0,350.0,0.0
Cox'sBazar,1986,0.0,0.0,0.0,51.0,141.0,921.0,799.0,328.0,322.0,233.0,114.0,0.0
Cox'sBazar,1987,1.0,60.0,9.0,194.0,50.0,483.0,1885.0,1298.0,410.0,88.0,102.0,13.0
Cox'sBazar,1988,0.0,1.0,13.0,167.0,337.0,1306.0,777.0,918.0,516.0,182.0,83.0,77.0
Cox'sBazar,1989,0.0,6.0,0.0,160.0,83.0,766.0,865.0,182.0,460.0,516.0,28.0,0.0
Cox'sBazar,1990,0.0,69.0,174.0,135.0,261.0,1201.0,1211.0,277.0,272.0,294.0,255.0,19.0
Cox'sBazar,1991,4.0,0.0,22.0,175.0,210.0,1297.0,878.0,782.0,497.0,211.0,88.0,13.0
Cox'sBazar,1992,1.0,45.0,0.0,1.0,149.0,767.0,824.0,451.0,328.0,237.0,99.0,6.0
Cox'sBazar,1993,34.0,86.0,98.0,96.0,508.0,835.0,677.0,736.0,248.0,165.0,39.0,0.0
Cox'sBazar,1994,5.0,18.0,239.0,237.0,309.0,1022.0,768.0,520.0,265.0,88.0,32.0,0.0
Cox'sBazar,1995,0.0,3.0,8.0,24.0,401.0,565.0,977.0,559.0,463.0,46.0,409.0,0.0
Cox'sBazar,1996,0.0,83.0,2.0,77.0,279.0,671.0,946.0,702.0,528.0,446.0,8.0,0.0
Cox'sBazar,1997,2.0,20.0,40.0,28.0,283.0,390.0,1277.0,613.0,640.0,173.0,37.0,33.0
Cox'sBazar,1998,15.0,19.0,20.0,148.0,381.0,365.0,1257.0,1154.0,323.0,184.0,87.0,0.0
Cox'sBazar,1999,0.0,0.0,0.0,8.0,578.0,853.0,919.0,1134.0,391.0,277.0,1.0,124.0
Cox'sBazar,2000,1.0,2.0,96.0,65.0,589.0,841.0,1300.0,870.0,503.0,424.0,16.0,0.0
Cox'sBazar,2001,0.0,26.0,0.0,6.0,379.0,1373.0,903.0,534.0,426.0,236.0,131.0,0.0
Cox'sBazar,2002,26.0,0.0,43.0,92.0,494.0,503.0,1236.0,658.0,316.0,330.0,219.0,1.0
Cox'sBazar,2003,0.0,4.0,68.0,10.0,574.0,1349.0,896.0,655.0,347.0,207.0,0.0,3.0
Cox'sBazar,2004,0.0,0.0,1.0,204.0,250.0,705.0,751.0,686.0,438.0,247.0,0.0,0.0
Cox'sBazar,2005,6.0,0.0,27.0,113.0,178.0,848.0,608.0,957.0,342.0,257.0,23.0,25.0
Cox'sBazar,2006,0.0,0.0,0.0,114.0,800.0,662.0,802.0,385.0,678.0,78.0,10.0,0.0
Cox'sBazar,2007,0.0,65.0,0.0,100.0,373.0,640.0,1274.0,526.0,409.0,492.0,127.0,0.0
Cox'sBazar,2008,15.0,50.0,4.0,0.0,244.0,1318.0,1275.0,664.0,387.0,184.0,3.0,0.0
Cox'sBazar,2009,0.0,0.0,0.0,130.0,241.0,324.0,971.0,944.0,485.0,130.0,58.0,0.0
Cox'sBazar,2010,0.0,0.0,15.0,12.0,717.0,982.0,496.0,501.0,257.0,375.0,15.0,68.0
Cox'sBazar,2011,11.0,0.0,4.0,123.0,296.0,926.0,877.0,1226.0,692.0,280.0,0.0,5.0
Cox'sBazar,2012,0.0,0.0,109.0,148.0,254.0,1102.0,1130.0,801.0,302.0,263.0,14.0,0.0
Cox'sBazar,2013,0.0,0.0,0.0,54.0,700.0,876.0,772.0,1000.0,237.0,420.0,0.0,0.0
Cox'sBazar,2014,0.0,29.0,1.0,4.0,139.0,677.0,717.0,611.0,264.0,41.0,0.0,0.0
Cox'sBazar,2015,10.0,0.0,16.0,72.0,96.0,1573.0,1400.0,657.0,618.0,207.0,40.0,27.0
Cox'sBazar,2016,0.0,0.0,25.0,22.0,359.0,538.0,1113.0,472.0,309.0,418.0,41.0,0.0
Cox'sBazar,2017,0.0,0.0,216.0,361.0,143.0,541.0,1437.0,531.0,524.0,149.0,13.0,36.0
Cox'sBazar,2018,26.0,0.0,0.0,56.0,172.0,984.0,1246.0,398.0,341.0,395.0,8.0,8.0
Cox'sBazar,2019,0.0,12.0,82.0,16.0,98.0,225.0,951.0,412.0,628.0,256.0,80.0,8.0
Dhaka,1953,0.0,0.0,0.0,90.0,274.0,333.0,392.0,326.0,352.0,52.0,13.0,0.0
Dhaka,1954,14.0,0.0,0.0,86.0,211.0,810.0,320.0,433.0,167.0,218.0,0.0,10.0
Dhaka,1955,0.0,0.0,0.0,54.0,201.0,254.0,502.0,247.0,149.0,71.0,99.0,0.0
Dhaka,1956,12.0,5.0,189.0,135.0,69.0,433.0,690.0,489.0,286.0,121.0,53.0,13.0
Dhaka,1957,68.0,69.0,16.0,117.0,114.0,487.0,385.0,125.0,144.0,29.0,0.0,0.0
Dhaka,1958,0.0,95.0,5.0,64.0,200.0,161.0,184.0,267.0,91.0,191.0,0.0,0.0
Dhaka,1959,15.0,4.0,78.0,78.0,254.0,368.0,230.0,413.0,445.0,568.0,0.0,0.0
Dhaka,1960,0.0,0.0,16.0,19.0,358.0,304.0,655.0,189.0,231.0,38.0,24.0,0.0
Dhaka,1961,1.0,12.0,20.0,205.0,219.0,856.0,296.0,288.0,221.0,52.0,0.0,0.0
Dhaka,1962,0.0,15.0,6.0,166.0,205.0,191.0,355.0,273.0,395.0,180.0,0.0,0.0
Dhaka,1963,0.0,0.0,51.0,98.0,219.0,621.0,404.0,186.0,200.0,182.0,7.0,3.0
Dhaka,1964,9.0,42.0,18.0,296.0,236.0,354.0,629.0,155.0,269.0,283.0,41.0,0.0
Dhaka,1965,0.0,28.0,22.0,55.0,305.0,442.0,304.0,480.0,300.0,50.0,131.0,0.0
Dhaka,1966,6.484,19.75,51.406000000000006,34.0,127.0,270.0,291.0,306.0,496.0,261.0,14.0,15.0
Dhaka,1967,23.0,12.0,168.0,185.0,216.0,241.0,363.0,504.0,266.0,74.0,1.0,0.0
Dhaka,1968,0.0,5.0,121.0,27.0,194.0,590.0,480.0,212.0,128.0,69.0,74.0,0.0
Dhaka,1969,0.0,1.0,65.0,86.0,95.0,249.0,198.0,540.0,201.0,103.0,2.0,0.0
Dhaka,1970,16.0,8.0,23.0,45.0,192.0,276.0,496.0,280.0,200.0,427.0,32.0,0.0
Dhaka,1971,3.0,28.0,0.0,0.0,344.0,339.0,550.0,540.0,259.0,118.0,95.0,9.891
Dhaka,1972,0.0,11.0,12.0,248.0,340.0,353.0,249.0,380.0,110.0,105.0,0.0,0.0
Dhaka,1973,0.0,21.0,32.0,131.0,621.0,414.0,388.32800000000003,238.0,348.0,128.0,64.0,86.0
Dhaka,1975,1.0,29.0,13.0,98.0,317.0,235.0,559.0,307.0,329.0,232.0,25.0,0.0
Dhaka,1976,0.0,7.0,117.0,34.0,459.0,627.0,346.0,361.0,165.0,114.0,8.0,0.0
Dhaka,1977,0.0,66.0,71.0,255.0,381.0,252.0,306.0,92.0,131.0,273.0,10.0,24.0
Dhaka,1978,0.0,20.0,18.0,194.0,454.0,529.0,320.0,426.0,192.0,98.0,0.0,0.0
Dhaka,1979,3.0,13.0,6.0,17.0,114.0,258.0,267.0,525.0,382.0,146.0,55.0,51.0
Dhaka,1980,3.0,32.0,54.0,147.0,414.0,323.0,380.0,269.0,296.0,300.0,0.0,0.0
Dhaka,1981,10.0,42.0,109.0,274.0,272.0,168.0,356.0,188.0,320.0,82.0,9.0,35.0
Dhaka,1982,0.0,15.0,81.0,104.0,154.0,514.0,136.0,346.0,258.0,146.0,51.0,0.0
Dhaka,1983,14.0,61.0,138.0,318.0,348.0,300.0,179.0,437.0,322.0,253.0,0.0,18.0
Dhaka,1984,13.0,1.0,5.0,124.0,707.0,637.0,694.0,311.0,478.0,58.0,0.0,0.0
Dhaka,1985,8.0,1.0,195.0,176.0,300.0,399.0,262.0,317.0,306.0,79.0,0.0,10.0
Dhaka,1986,22.0,0.0,23.0,247.0,191.0,304.0,443.0,171.0,687.0,237.0,172.0,3.0
Dhaka,1987,4.0,0.0,33.0,230.0,109.0,316.0,526.0,462.0,363.0,104.0,7.0,33.0
Dhaka,1988,0.0,44.0,74.0,282.0,513.0,580.0,255.0,169.0,196.0,213.0,153.0,3.0
Dhaka,1989,0.0,32.0,0.0,85.0,228.0,319.0,347.0,59.0,305.0,240.0,0.0,12.0
Dhaka,1990,0.0,36.0,151.0,154.0,202.0,229.0,567.0,227.0,247.0,181.0,103.0,6.0
Dhaka,1991,27.0,8.0,46.0,53.0,529.0,320.0,318.0,345.0,692.0,392.0,14.0,106.0
Dhaka,1992,1.0,47.0,0.0,25.0,153.0,132.0,386.0,182.0,158.0,83.0,2.0,0.0
Dhaka,1993,0.0,52.0,88.0,113.0,556.0,504.0,421.0,432.0,417.0,217.0,19.0,0.0
Dhaka,1994,13.0,54.0,115.0,201.0,254.0,266.0,153.0,246.0,169.0,55.0,14.0,0.0
Dhaka,1995,8.0,31.0,0.0,88.0,264.0,237.0,354.0,360.0,205.0,91.0,112.0,1.0
Dhaka,1996,0.0,21.0,54.0,199.0,208.0,343.0,257.0,361.0,244.0,357.0,0.0,0.0
Dhaka,1997,2.0,7.0,82.0,133.0,151.0,249.0,549.0,230.0,440.0,30.0,1.0,22.0
Dhaka,1998,49.0,4.0,83.0,178.0,405.0,89.0,521.0,552.0,246.0,100.0,83.0,0.0
Dhaka,1999,0.0,0.0,0.0,21.0,428.0,348.0,553.0,282.0,361.0,368.0,13.0,0.0
Dhaka,2000,13.0,44.0,172.0,189.0,608.0,165.0,197.0,359.0,216.0,278.0,0.0,0.0
Dhaka,2001,0.0,1.0,33.0,46.0,402.0,386.0,202.0,205.0,209.0,177.0,18.0,0.0
Dhaka,2002,22.0,4.0,51.0,111.0,272.0,373.0,446.0,272.0,156.0,52.0,36.0,0.0
Dhaka,2003,0.0,25.0,96.0,123.0,140.0,473.0,191.0,202.0,264.0,134.0,0.0,45.0
Dhaka,2004,0.0,0.0,9.0,167.0,162.0,476.0,295.0,191.0,839.0,208.0,0.0,0.0
Dhaka,2005,1.0,3.0,155.0,91.0,291.0,259.0,542.0,361.0,514.0,417.0,3.0,0.0
Dhaka,2006,0.0,0.0,0.0,181.0,185.0,326.0,331.0,167.0,663.0,61.0,5.0,0.0
Dhaka,2007,0.0,30.0,11.0,163.0,185.0,628.0,753.0,505.0,179.0,320.0,111.0,0.0
Dhaka,2008,23.0,56.0,45.0,91.0,205.0,409.0,563.0,319.0,279.0,227.0,0.0,0.0
Dhaka,2009,1.0,1.0,43.0,14.0,168.0,170.0,676.0,482.0,298.0,74.0,4.0,0.0
Dhaka,2010,0.0,48.0,22.0,37.0,177.0,308.0,167.0,340.0,169.0,174.0,0.0,81.0
Dhaka,2011,0.0,0.0,20.0,123.0,235.0,314.0,356.0,409.0,207.0,112.0,0.0,0.0
Dhaka,2012,10.0,1.0,37.0,269.0,137.0,175.0,226.0,282.0,81.0,38.0,68.0,5.0
Dhaka,2013,0.0,8.0,26.0,32.0,378.0,325.0,302.0,212.0,138.0,131.0,0.0,4.0
Dhaka,2014,0.0,12.0,10.0,80.0,147.0,342.0,212.0,391.0,156.0,49.0,0.0,0.0
Dhaka,2015,3.0,17.0,4.0,166.0,185.0,375.0,623.0,395.0,346.0,51.0,0.0,1.0
Dhaka,2016,3.0,13.0,55.0,55.0,212.0,212.0,405.0,171.0,138.0,76.0,25.0,0.0
Dhaka,2017,0.0,2.0,100.0,228.0,188.0,414.0,584.0,544.0,381.0,412.0,6.0,33.0
Dhaka,2018,0.0,20.0,3.0,309.0,392.0,366.0,354.0,141.0,76.0,45.0,13.0,13.0
Dhaka,2019,1.0,115.0,39.0,212.0,231.0,242.0,383.0,223.0,161.0,188.0,37.0,5.0
Dinajpur,1953,20.0,0.0,5.0,50.0,58.0,254.0,715.0,136.0,217.0,28.0,0.0,0.0
Dinajpur,1954,12.0,0.0,0.0,0.0,125.0,647.0,339.0,301.0,227.0,37.0,0.0,0.0
Dinajpur,1955,0.0,0.0,0.0,15.0,73.0,269.0,506.0,627.0,269.0,27.0,9.0,0.0
Dinajpur,1956,0.0,0.0,0.0,69.0,162.0,449.0,404.0,634.0,217.0,221.0,24.0,0.0
Dinajpur,1957,85.0,3.0,4.0,0.0,3.0,240.0,449.0,218.0,158.0,77.0,0.0,0.0
Dinajpur,1958,0.0,0.0,16.0,39.0,98.0,346.0,207.0,489.0,203.0,77.0,0.0,0.0
Dinajpur,1959,33.0,0.0,9.0,133.0,165.0,293.0,234.0,213.0,119.0,362.0,0.0,0.0
Dinajpur,1960,0.0,0.0,36.0,0.0,188.0,219.0,573.0,146.0,370.0,34.0,0.0,0.0
Dinajpur,1961,0.0,4.0,0.0,4.0,68.0,404.0,149.0,192.0,133.0,105.0,0.0,4.0
Dinajpur,1962,5.0,2.0,10.0,27.0,64.0,193.0,179.0,556.0,347.0,52.0,0.0,0.0
Dinajpur,1963,0.0,0.0,86.0,68.0,104.0,246.0,380.0,287.0,325.0,185.0,22.0,0.0
Dinajpur,1964,0.0,0.0,5.0,109.0,231.0,363.0,555.0,217.0,316.0,219.0,0.0,0.0
Dinajpur,1965,0.0,0.0,69.0,0.0,81.0,1054.0,446.0,718.0,334.0,15.0,0.0,0.0
Dinajpur,1966,19.0,0.0,3.0,20.0,194.0,57.0,602.0,264.0,266.0,30.0,26.0,26.0
Dinajpur,1967,0.0,0.0,151.0,62.0,119.0,226.0,328.0,172.0,407.0,105.0,0.0,0.0
Dinajpur,1968,5.0,0.0,10.0,40.0,154.0,496.0,533.0,203.0,108.0,255.0,0.0,0.0
Dinajpur,1969,7.0,0.0,52.0,123.0,148.0,362.0,592.0,373.0,276.0,40.0,56.0,0.0
Dinajpur,1970,42.0,0.0,1.0,76.0,74.0,253.0,586.0,126.0,217.0,48.0,0.0,0.0
Dinajpur,1971,8.0,11.0,0.0,63.143,186.625,342.86,420.211,295.0,94.0,302.0,0.0,0.0
Dinajpur,1972,0.0,0.0,4.0,63.143,186.625,171.0,257.0,371.0,130.0,52.0,0.0,0.0
Dinajpur,1981,27.0,47.0,0.0,78.0,595.0,103.0,715.0,289.0,214.0,0.0,5.0,44.0
Dinajpur,1982,0.0,2.0,8.0,111.0,101.0,264.0,260.0,361.0,164.0,42.0,29.0,0.0
Dinajpur,1983,11.0,0.0,20.0,9.0,311.0,157.0,700.0,363.0,320.0,177.0,0.0,32.0
Dinajpur,1984,46.0,3.0,13.0,28.0,311.0,457.0,470.0,270.0,498.0,65.0,0.0,4.0
Dinajpur,1985,0.0,5.0,1.0,17.0,146.0,551.0,484.0,278.0,326.0,282.0,0.0,7.0
Dinajpur,1986,0.0,0.0,0.0,65.0,178.0,203.0,500.0,329.0,267.0,365.0,0.0,37.0
Dinajpur,1987,1.0,38.0,70.0,134.0,116.0,277.0,1196.0,798.0,430.0,112.0,7.0,0.0
Dinajpur,1988,1.0,10.0,17.0,108.0,170.0,347.0,401.0,848.0,200.0,106.0,13.0,0.0
Dinajpur,1989,22.0,8.0,1.0,0.0,408.0,253.0,412.0,232.0,493.0,82.0,0.0,2.0
Dinajpur,1990,0.0,6.0,41.0,159.0,245.0,355.0,479.0,251.0,352.0,193.0,0.0,0.0
Dinajpur,1991,27.0,4.0,1.0,18.0,400.0,376.0,184.0,282.0,647.0,29.0,0.0,44.0
Dinajpur,1992,6.0,6.0,1.0,5.0,87.0,212.0,535.0,228.0,483.0,76.0,6.0,4.0
Dinajpur,1993,42.0,0.0,29.0,82.0,308.0,495.0,218.0,565.0,361.0,64.0,15.0,0.0
Dinajpur,1994,23.0,22.0,0.0,50.0,146.0,294.0,148.0,122.0,248.0,89.0,0.0,0.0
Dinajpur,1995,3.0,12.0,10.0,0.0,54.0,287.0,472.0,593.0,1026.0,77.0,74.0,5.0
Dinajpur,1996,16.0,4.0,0.0,29.0,76.0,320.0,428.0,353.0,744.0,75.0,0.0,0.0
Dinajpur,1997,21.0,11.0,3.0,64.0,90.0,501.0,461.0,330.0,289.0,3.0,0.0,36.0
Dinajpur,1998,2.0,17.0,24.0,148.0,152.0,237.0,566.0,548.0,317.0,380.0,0.0,0.0
Dinajpur,1999,0.0,0.0,0.0,68.0,367.0,283.0,403.0,587.0,589.0,234.0,5.0,0.0
Dinajpur,2000,0.0,30.0,1.0,147.0,325.0,399.0,197.0,195.0,196.0,25.0,0.0,0.0
Dinajpur,2001,0.0,0.0,0.0,5.0,222.0,573.0,158.0,318.0,462.0,382.0,53.0,0.0
Dinajpur,2002,8.0,18.0,13.0,168.0,104.0,658.0,795.0,246.0,481.0,56.0,6.0,0.0
Dinajpur,2003,11.0,34.0,53.0,105.0,147.0,337.0,532.0,197.0,230.0,380.0,0.0,31.0
Dinajpur,2004,7.0,0.0,12.0,163.0,278.0,517.0,602.0,128.0,253.0,330.0,0.0,3.0
Dinajpur,2005,9.0,15.0,37.0,89.0,255.0,474.0,507.0,597.0,222.0,770.0,0.0,0.0
Dinajpur,2006,0.0,0.0,1.0,67.0,259.0,222.0,218.0,126.0,340.0,21.0,23.0,8.0
Dinajpur,2007,0.0,30.0,2.0,33.0,121.0,474.0,401.0,233.0,234.0,51.0,0.0,0.0
Dinajpur,2008,33.0,1.0,19.0,27.0,220.0,363.0,437.0,385.0,242.0,45.0,0.0,0.0
Dinajpur,2009,0.0,0.0,10.0,41.0,369.0,457.0,281.0,471.0,128.0,267.0,1.0,0.0
Dinajpur,2010,0.0,0.0,0.0,84.0,206.0,515.0,356.0,290.0,107.0,82.0,1.0,0.0
Dinajpur,2011,0.0,28.0,27.0,61.0,250.0,348.0,285.0,381.0,261.0,0.0,3.0,0.0
Dinajpur,2012,5.0,5.0,3.0,57.0,79.0,380.0,435.0,106.0,349.0,91.0,1.0,0.0
Dinajpur,2013,0.0,10.0,0.0,99.0,133.0,370.0,255.0,469.0,182.0,309.0,0.0,0.0
Dinajpur,2014,0.0,31.0,2.0,3.0,186.0,257.0,293.0,181.0,424.0,21.0,0.0,0.0
Dinajpur,2015,25.0,3.0,28.0,91.0,376.0,273.0,328.0,590.0,251.0,0.0,0.0,0.0
Dinajpur,2016,11.0,0.0,25.0,26.0,221.0,129.0,446.0,119.0,473.0,199.0,0.0,11.0
Dinajpur,2017,5.0,0.0,102.0,192.0,175.0,159.0,195.0,655.0,125.0,144.0,0.0,0.0
Dinajpur,2018,0.0,0.0,29.0,70.0,155.0,124.0,165.0,164.0,195.0,8.0,0.0,10.0
Dinajpur,2019,0.0,27.0,0.0,130.0,187.0,293.0,680.0,328.0,492.0,8.0,0.0,10.0
Faridpur,1953,0.0,7.0,129.0,40.0,246.0,591.0,677.0,298.0,289.0,55.0,35.0,0.0
Faridpur,1954,11.0,0.0,0.0,154.0,207.0,788.0,414.0,261.0,103.0,159.0,0.0,0.0
Faridpur,1955,0.0,0.0,21.0,165.0,216.0,167.0,309.0,255.0,331.0,120.0,51.0,0.0
Faridpur,1956,4.0,14.0,72.0,112.0,211.0,459.0,303.0,435.0,311.0,140.0,77.0,2.0
Faridpur,1957,52.0,38.0,16.0,15.0,163.0,299.0,322.0,220.0,155.0,40.0,0.0,0.0
Faridpur,1958,0.0,36.0,34.0,196.0,194.0,119.0,162.0,226.0,92.0,364.0,0.0,0.0
Faridpur,1959,24.0,14.0,68.0,173.0,341.0,183.0,296.0,489.0,528.0,697.0,0.0,0.0
Faridpur,1960,0.0,0.0,14.0,44.0,315.0,254.0,663.0,278.0,203.0,116.0,6.0,0.0
Faridpur,1961,6.0,40.0,31.0,27.0,183.0,359.0,415.0,233.0,128.0,183.0,38.0,0.0
Faridpur,1962,0.0,32.0,2.0,156.0,273.0,382.0,388.0,159.0,261.0,111.0,0.0,0.0
Faridpur,1963,3.0,0.0,33.0,155.0,213.0,530.0,344.0,126.0,140.0,179.0,40.0,1.0
Faridpur,1964,2.0,0.0,0.0,303.0,63.0,353.0,548.0,267.0,175.0,307.0,1.0,0.0
Faridpur,1965,0.0,12.0,14.0,24.0,64.0,341.0,371.0,290.70799999999997,338.0,20.0,17.0,0.0
Faridpur,1966,3.0,0.0,0.0,155.0,37.0,317.0,216.0,257.0,145.0,191.0,0.0,19.0
Faridpur,1967,38.0,1.0,44.0,93.0,64.0,403.0,210.0,297.0,262.0,56.0,0.0,0.0
Faridpur,1968,3.0,0.0,74.0,35.0,189.0,398.0,243.0,262.0,194.0,88.0,79.0,13.0
Faridpur,1969,0.0,0.0,67.0,84.0,100.0,267.0,263.0,407.0,143.0,57.0,41.0,5.0
Faridpur,1970,12.0,15.0,25.0,68.0,173.0,308.0,382.0,291.0,433.0,413.0,32.0,0.0
